metroreg,TIME_PERIOD,area,gdp,population,unemp,metroreg_d,iccs,Nr_Crimes,iccs_d
AT005M,2016,2095.0,43300.0,305226.0,,Innsbruck,ICCS050211,78,Theft of a motorized land vehicle
AT005M,2017,2095.0,44200.0,308290.0,5.1,Innsbruck,ICCS0101,2,Intentional homicide
AT005M,2017,2095.0,44200.0,308290.0,5.1,Innsbruck,ICCS0401,91,Robbery
AT005M,2017,2095.0,44200.0,308290.0,5.1,Innsbruck,ICCS05012,205,Burglary of private residential premises
AT005M,2017,2095.0,44200.0,308290.0,5.1,Innsbruck,ICCS050211,66,Theft of a motorized land vehicle
AT005M,2018,2095.0,45700.0,310297.0,3.7,Innsbruck,ICCS0101,1,Intentional homicide
AT005M,2018,2095.0,45700.0,310297.0,3.7,Innsbruck,ICCS0401,78,Robbery
AT005M,2018,2095.0,45700.0,310297.0,3.7,Innsbruck,ICCS05012,191,Burglary of private residential premises
AT005M,2018,2095.0,45700.0,310297.0,3.7,Innsbruck,ICCS050211,77,Theft of a motorized land vehicle
AT005M,2019,2095.0,47300.0,311428.0,3.1,Innsbruck,ICCS0101,4,Intentional homicide
AT005M,2019,2095.0,47300.0,311428.0,3.1,Innsbruck,ICCS0401,82,Robbery
AT005M,2019,2095.0,47300.0,311428.0,3.1,Innsbruck,ICCS05012,160,Burglary of private residential premises
AT005M,2019,2095.0,47300.0,311428.0,3.1,Innsbruck,ICCS050211,53,Theft of a motorized land vehicle
AT005M,2020,2095.0,44600.0,312414.0,4.4,Innsbruck,ICCS0101,0,Intentional homicide
AT005M,2020,2095.0,44600.0,312414.0,4.4,Innsbruck,ICCS0401,89,Robbery
AT005M,2020,2095.0,44600.0,312414.0,4.4,Innsbruck,ICCS05012,133,Burglary of private residential premises
AT005M,2020,2095.0,44600.0,312414.0,4.4,Innsbruck,ICCS050211,44,Theft of a motorized land vehicle
AT_NM,2008,63368.5,29900.0,,,Non-metropolitan regions in Austria,ICCS0101,17,Intentional homicide
AT_NM,2008,63368.5,29900.0,,,Non-metropolitan regions in Austria,ICCS0401,443,Robbery
AT_NM,2008,63368.5,29900.0,,,Non-metropolitan regions in Austria,ICCS05012,3616,Burglary of private residential premises
AT_NM,2009,63368.5,29100.0,,,Non-metropolitan regions in Austria,ICCS0101,19,Intentional homicide
AT_NM,2009,63368.5,29100.0,,,Non-metropolitan regions in Austria,ICCS0401,489,Robbery
AT_NM,2009,63368.5,29100.0,,,Non-metropolitan regions in Austria,ICCS05012,4140,Burglary of private residential premises
AT_NM,2010,63368.5,30000.0,,,Non-metropolitan regions in Austria,ICCS0101,18,Intentional homicide
AT_NM,2010,63368.5,30000.0,,,Non-metropolitan regions in Austria,ICCS0401,451,Robbery
AT_NM,2010,63368.5,30000.0,,,Non-metropolitan regions in Austria,ICCS05012,2977,Burglary of private residential premises
AT_NM,2011,63368.5,31600.0,,,Non-metropolitan regions in Austria,ICCS0101,34,Intentional homicide
AT_NM,2011,63368.5,31600.0,,,Non-metropolitan regions in Austria,ICCS0401,487,Robbery
AT_NM,2011,63368.5,31600.0,,,Non-metropolitan regions in Austria,ICCS05012,3014,Burglary of private residential premises
AT_NM,2012,63367.0,32600.0,,,Non-metropolitan regions in Austria,ICCS0101,34,Intentional homicide
AT_NM,2012,63367.0,32600.0,,,Non-metropolitan regions in Austria,ICCS0401,500,Robbery
AT_NM,2012,63367.0,32600.0,,,Non-metropolitan regions in Austria,ICCS05012,3117,Burglary of private residential premises
AT_NM,2013,63345.0,33300.0,,,Non-metropolitan regions in Austria,ICCS0101,20,Intentional homicide
AT_NM,2013,63345.0,33300.0,,,Non-metropolitan regions in Austria,ICCS0401,449,Robbery
AT_NM,2013,63345.0,33300.0,,,Non-metropolitan regions in Austria,ICCS05012,3496,Burglary of private residential premises
AT_NM,2013,63345.0,33300.0,,,Non-metropolitan regions in Austria,ICCS050211,290,Theft of a motorized land vehicle
