DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EL:Greece,2019,31.0,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EL:Greece,2020,31.4,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EL:Greece,2021,32.4,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EL:Greece,2022,31.4,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),ES:Spain,2011,34.0,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),ES:Spain,2012,34.2,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),ES:Spain,2013,33.7,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),ES:Spain,2014,34.7,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),ES:Spain,2015,34.6,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),ES:Spain,2016,34.5,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),ES:Spain,2017,34.1,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),ES:Spain,2018,33.2,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),ES:Spain,2019,33.0,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),ES:Spain,2020,32.1,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),ES:Spain,2021,33.0,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),ES:Spain,2022,32.0,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EU27_2007:European Union - 27 countries (2007-2013),2011,30.8,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EU27_2007:European Union - 27 countries (2007-2013),2012,30.5,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EU27_2007:European Union - 27 countries (2007-2013),2013,30.5,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EU27_2007:European Union - 27 countries (2007-2013),2014,31.0,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EU27_2007:European Union - 27 countries (2007-2013),2015,31.0,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EU27_2007:European Union - 27 countries (2007-2013),2016,30.8,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EU27_2007:European Union - 27 countries (2007-2013),2017,30.6,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EU27_2007:European Union - 27 countries (2007-2013),2018,30.8,
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EU27_2007:European Union - 27 countries (2007-2013),2019,30.6,e
ESTAT:TESSI190(1.0),22/12/23 11:00:00,A:Annual,GINI_HND:Gini coefficient (scale from 0 to 100),EU27_2007:European Union - 27 countries (2007-2013),2020,,
